filename,latency_ms,phone_found,phone_conf,knife_found,knife_conf,cup_found,cup_conf
frame_cam1_1762556952000.png,31.3442,1,0.906075,0,0,1,0.877009
frame_cam1_1762659067000.png,31.2846,1,0.906075,0,0,1,0.877009
frame_cam1_1762760058000.png,31.2952,1,0.892402,0,0,1,0.877009
frame_cam1_1762862943000.png,31.8849,1,0.892402,0,0,1,0.877009
frame_cam1_1762967590000.png,31.4207,1,0.906075,0,0,1,0.877009
frame_cam1_1763069013000.png,32.3466,1,0.892402,0,0,1,0.877009
frame_cam1_1763173183000.png,31.239,1,0.906075,0,0,1,0.877009
frame_cam1_1763270023000.png,31.33,1,0.906075,0,0,1,0.877009
frame_cam1_1763373451000.png,31.9694,1,0.906075,0,0,1,0.877009
frame_cam1_1763473702000.png,31.1681,1,0.906075,0,0,1,0.819222
frame_cam1_1763576048000.png,32.7826,1,0.906075,0,0,1,0.85976
frame_cam1_1763682179000.png,31.1988,1,0.906075,0,0,1,0.840532
frame_cam1_1763783014000.png,31.5882,1,0.906075,0,0,1,0.85976
frame_cam1_1763884824000.png,32.5747,1,0.906075,0,0,1,0.85976
frame_cam1_1763993135000.png,31.3633,1,0.906075,0,0,1,0.840532
frame_cam1_1764097220000.png,32.2086,1,0.892402,0,0,1,0.85976
frame_cam1_1764202264000.png,31.0621,1,0.85976,0,0,1,0.819222
frame_cam1_1764303892000.png,31.3483,1,0.906075,0,0,1,0.819222
frame_cam1_1764402830000.png,31.7117,1,0.877009,0,0,1,0.840532
frame_cam1_1764501659000.png,31.2664,1,0.892402,0,0,1,0.85976
frame_cam1_1764600280000.png,33.7155,1,0.892402,0,0,1,0.840532
frame_cam1_1764698919000.png,35.9858,1,0.877009,0,0,1,0.770098
frame_cam1_1764799562000.png,32.1925,1,0.906075,0,0,1,0.840532
frame_cam1_1764899228000.png,32.3183,1,0.906075,0,0,1,0.877009
frame_cam1_1765004231000.png,35.1497,1,0.906075,0,0,1,0.877009
frame_cam1_1765108391000.png,31.3145,1,0.906075,0,0,1,0.892402
frame_cam1_1765255826000.png,32.2705,1,0.892402,0,0,1,0.85976
frame_cam1_1765355271000.png,32.7354,1,0.906075,0,0,1,0.85976
frame_cam1_1765453552000.png,31.2199,1,0.906075,0,0,1,0.840532
frame_cam1_1765553575000.png,31.3391,1,0.906075,0,0,1,0.85976
frame_cam1_1765656406000.png,31.4572,1,0.906075,0,0,1,0.85976
frame_cam1_1765759227000.png,31.6397,1,0.906075,0,0,1,0.877009
frame_cam1_1765861072000.png,33.0384,1,0.906075,0,0,1,0.877009
frame_cam1_1765965283000.png,31.149,1,0.906075,1,0.273394,1,0.85976
frame_cam1_1766067526000.png,31.3326,1,0.906075,0,0,1,0.840532
frame_cam1_1766166735000.png,31.1961,1,0.906075,0,0,1,0.85976
frame_cam1_1766264773000.png,31.1441,1,0.85976,1,0.35333,1,0.85976
frame_cam1_1766364308000.png,31.6429,1,0.85976,0,0,1,0.680385
frame_cam1_1766461834000.png,31.1867,1,0.85976,0,0,1,0.712314
frame_cam1_1766564566000.png,31.1883,1,0.85976,0,0,1,0.819222
frame_cam1_1766669551000.png,31.343,1,0.85976,1,0.403479,1,0.61143
frame_cam1_1766780429000.png,31.0088,1,0.770098,0,0,1,0.819222
frame_cam1_1766879955000.png,32.4451,1,0.819222,0,0,1,0.85976
frame_cam1_1766982871000.png,31.2212,1,0.819222,1,0.273394,1,0.770098
frame_cam1_1767083366000.png,31.1831,1,0.742262,1,0.357442,1,0.795756
frame_cam1_1767183682000.png,31.1168,1,0.574984,0,0,1,0.574984
frame_cam1_1767285191000.png,31.2604,1,0.574984,1,0.257738,1,0.742262
frame_cam1_1767387296000.png,31.584,1,0.574984,1,0.425016,1,0.795756
frame_cam1_1767487536000.png,31.1643,1,0.64667,1,0.313894,1,0.840532
frame_cam1_1767587285000.png,31.214,1,0.819222,1,0.451281,1,0.875985
frame_cam1_1767686501000.png,31.0538,1,0.425016,0,0,1,0.85976
frame_cam1_1767785665000.png,31.3068,1,0.537705,0,0,1,0.64667
frame_cam1_1767889669000.png,31.8047,1,0.287686,0,0,1,0.712314
frame_cam1_1767988461000.png,31.1413,1,0.5,1,0.319615,1,0.64667
frame_cam1_1768088084000.png,31.4384,1,0.462295,1,0.403479,1,0.795756
frame_cam1_1768188397000.png,31.0612,1,0.574984,0,0,1,0.537705
frame_cam1_1768288701000.png,31.0878,1,0.537705,1,0.287686,1,0.819222
